x
3
3
3
3
3
3
3
3
3
4
6
7
9
9
11
12
13
14
16
19
24
28
36
49
100
92
70
57
46
42
44
44
32
28
24
19
16
15
12
10
10
8
8
8
8
8
7
7
8
7
7
6
5
5
5
5
5
5
5
5
6
6
7
9
10
12
14
18
20
23
32
36
36
44
53
55
68
81
64
52
48
47
41
38
31
23
17
13
11
9
7
7
7
7
6
6
6
6
6
