Week,dengue,dengue fever,dengue symptoms,dengue mosqito,treatment for dengue,dengue mosquito
2015-05-03,3,1,1,29,3,2
2015-05-10,3,1,1,27,6,3
2015-05-17,3,1,1,27,8,2
2015-05-24,3,1,1,27,6,2
2015-05-31,4,1,1,28,7,1
2015-06-07,6,2,1,21,11,3
2015-06-14,7,2,2,21,8,4
2015-06-21,9,3,2,21,9,4
2015-06-28,9,2,2,21,12,6
2015-07-05,11,3,3,21,18,4
2015-07-12,12,3,4,0,14,7
2015-07-19,13,4,3,0,12,7
2015-07-26,14,4,4,0,15,10
2015-08-02,16,4,4,0,15,15
2015-08-09,19,4,6,0,33,16
2015-08-16,24,6,8,21,32,15
2015-08-23,28,6,10,21,41,16
2015-08-30,36,8,12,21,40,18
2015-09-06,49,10,16,21,46,34
2015-09-13,100,17,33,33,100,94
2015-09-20,92,16,33,55,86,100
2015-09-27,70,13,25,65,75,83
2015-10-04,57,11,20,22,52,58
2015-10-11,46,9,16,22,59,41
2015-10-18,42,8,14,22,60,36
2015-10-25,44,10,15,22,56,27
2015-11-01,44,9,14,45,36,27
2015-11-08,32,7,11,23,29,19
2015-11-15,28,7,9,23,34,22
2015-11-22,24,5,8,23,19,19
2015-11-29,19,4,6,24,21,14
2015-12-06,16,4,5,24,21,12
2015-12-13,15,3,5,24,16,9
2015-12-20,12,3,4,25,16,8
2015-12-27,10,2,3,0,15,8
2016-01-03,10,3,3,0,7,7
2016-01-10,8,2,2,0,9,5
2016-01-17,8,2,2,0,7,5
2016-01-24,8,2,2,0,11,7
2016-01-31,8,2,2,0,4,7
2016-02-07,8,2,2,0,9,7
2016-02-14,7,1,2,0,8,7
2016-02-21,7,1,2,0,4,7
2016-02-28,8,1,2,0,10,7
2016-03-06,7,2,1,0,5,6
2016-03-13,7,1,1,21,4,9
2016-03-20,6,1,1,0,4,3
2016-03-27,5,1,1,0,11,5
2016-04-03,5,1,1,0,3,5
2016-04-10,5,1,1,0,3,6
2016-04-17,5,1,1,0,7,4
2016-04-24,5,1,1,0,3,4
2016-05-01,5,1,1,0,4,3
2016-05-08,5,1,1,0,4,4
2016-05-15,5,1,1,0,3,3
2016-05-22,6,2,1,0,3,4
2016-05-29,6,2,1,0,13,4
2016-06-05,7,2,2,0,5,6
2016-06-12,9,3,2,20,8,7
2016-06-19,10,3,3,20,17,6
2016-06-26,12,3,4,19,17,7
2016-07-03,14,3,5,19,16,12
2016-07-10,18,4,7,19,11,15
2016-07-17,20,6,7,19,14,19
2016-07-24,23,6,8,19,17,21
2016-07-31,32,8,12,19,20,36
2016-08-07,36,8,13,19,24,32
2016-08-14,36,8,13,19,37,26
2016-08-21,44,9,16,19,45,33
2016-08-28,53,11,20,40,73,41
2016-09-04,55,11,20,20,51,41
2016-09-11,68,12,23,20,66,62
2016-09-18,81,14,26,50,75,94
2016-09-25,64,12,22,40,65,61
2016-10-02,52,10,17,21,51,42
2016-10-09,48,8,16,21,50,43
2016-10-16,47,9,15,21,56,36
2016-10-23,41,8,13,22,44,31
2016-10-30,38,6,11,22,39,27
2016-11-06,31,5,9,22,24,24
2016-11-13,23,4,7,23,23,17
2016-11-20,17,3,5,23,17,13
2016-11-27,13,2,4,0,19,10
2016-12-04,11,2,3,0,11,5
2016-12-11,9,2,2,0,8,6
2016-12-18,7,2,2,0,6,3
2016-12-25,7,1,2,0,9,4
2017-01-01,7,1,2,0,7,5
2017-01-08,7,2,2,0,8,5
2017-01-15,6,2,1,22,2,4
2017-01-22,6,1,1,0,7,4
2017-01-29,6,1,2,0,2,4
2017-02-05,6,2,1,0,6,5
2017-02-12,6,1,2,0,3,6
,,,,0,11,2
