Week,Dengue fever,Dengue Fever band,dengue ke lakshan,how to cure dengue at home,dengue fever prevention
2015-09-13,100,21,94,23,64
2015-09-20,95,43,94,31,59
2015-09-27,73,43,61,38,55
2015-10-04,58,21,26,46,52
2015-10-11,48,21,43,23,23
2015-10-18,43,21,27,48,27
2015-10-25,43,22,18,34,43
2015-11-01,43,22,15,24,12
2015-11-08,32,49,17,26,13
2015-11-15,29,0,16,49,34
2015-11-22,23,0,6,25,22
2015-11-29,19,0,6,25,19
2015-12-06,16,0,6,25,19
2015-12-13,14,0,6,0,16
2015-12-20,12,0,6,0,7
2015-12-27,10,0,7,0,16
2016-01-03,10,0,13,0,12
2016-01-10,9,0,6,0,9
2016-01-17,8,0,12,0,6
2016-01-24,9,0,6,0,9
2016-01-31,8,0,6,0,11
2016-02-07,8,0,6,0,28
2016-02-14,7,0,6,0,19
2016-02-21,8,0,6,0,6
2016-02-28,8,0,6,0,6
2016-03-06,9,0,6,0,6
2016-03-13,8,0,6,0,17
2016-03-20,6,0,0,0,6
2016-03-27,5,0,0,0,11
2016-04-03,6,0,0,23,9
2016-04-10,5,0,0,23,10
2016-04-17,5,0,0,0,12
2016-04-24,5,0,0,0,6
2016-05-01,5,0,0,0,6
2016-05-08,5,0,6,0,11
2016-05-15,5,0,5,0,5
2016-05-22,6,0,5,0,5
2016-05-29,6,0,6,0,5
2016-06-05,7,0,5,0,14
2016-06-12,9,0,5,0,11
2016-06-19,11,0,5,0,8
2016-06-26,12,0,5,0,16
2016-07-03,14,20,5,0,19
2016-07-10,17,19,5,22,14
2016-07-17,19,19,5,21,31
2016-07-24,22,57,8,20,20
2016-07-31,32,19,21,20,23
2016-08-07,36,19,18,20,20
2016-08-14,34,19,19,21,26
2016-08-21,42,19,24,27,16
2016-08-28,52,26,48,31,32
2016-09-04,55,33,49,50,27
2016-09-11,69,39,62,42,22
2016-09-18,81,20,100,57,48
2016-09-25,63,20,57,86,30
2016-10-02,54,21,58,80,16
2016-10-09,50,22,26,78,21
2016-10-16,48,22,40,45,23
2016-10-23,41,22,41,47,18
2016-10-30,38,45,52,24,18
2016-11-06,30,43,15,23,18
2016-11-13,23,22,21,24,21
2016-11-20,17,22,12,24,9
2016-11-27,14,22,6,24,12
2016-12-04,10,0,6,24,12
2016-12-11,8,0,12,24,6
2016-12-18,8,0,12,23,9
2016-12-25,7,0,6,23,6
2017-01-01,7,0,6,23,6
2017-01-08,6,0,6,0,12
2017-01-15,6,0,6,0,6
2017-01-22,7,0,6,0,6
2017-01-29,5,0,6,0,12
2017-02-05,6,0,0,0,9
2017-02-12,6,0,0,0,15
2017-02-19,6,0,0,0,29
