,Week,dengue,dengue.symptoms,dengue.mosqito,treatment.for.dengue,dengue.mosquito,Dengue.fever,Dengue.Fever.band,dengue.ke.lakshan,how.to.cure.dengue.at.home,dengue.fever.prevention
159,2015-03-08,4,1,0,6,3,4,0,0,0,8
160,2015-03-15,4,1,0,3,5,4,0,0,0,15
161,2015-03-22,3,1,0,3,3,4,0,0,0,8
162,2015-03-29,3,0,29,4,2,3,0,0,0,16
163,2015-04-05,3,1,29,6,2,3,0,0,0,19
164,2015-04-12,3,1,29,6,3,3,0,0,0,23
165,2015-04-19,3,1,29,3,2,4,0,0,0,15
166,2015-04-26,3,1,29,3,2,3,0,0,31,15
167,2015-05-03,3,1,29,3,2,3,0,0,0,15
168,2015-05-10,3,1,27,6,3,3,0,0,0,15
169,2015-05-17,3,1,27,8,2,4,0,0,0,7
170,2015-05-24,3,1,27,6,2,4,0,0,0,7
171,2015-05-31,4,1,28,7,1,5,0,0,0,7
172,2015-06-07,6,1,21,11,3,6,0,0,0,11
173,2015-06-14,7,2,21,8,4,9,28,0,30,15
174,2015-06-21,9,2,21,9,4,10,24,0,23,16
175,2015-06-28,9,2,21,12,6,10,21,6,23,6
176,2015-07-05,11,3,21,18,4,11,21,6,23,11
177,2015-07-12,12,4,0,14,7,12,21,6,23,17
178,2015-07-19,13,3,0,12,7,13,21,6,22,23
179,2015-07-26,14,4,0,15,10,14,21,6,22,8
180,2015-08-02,16,4,0,15,15,16,21,14,23,11
181,2015-08-09,19,6,0,33,16,18,21,19,22,28
182,2015-08-16,24,8,21,32,15,24,21,23,23,29
183,2015-08-23,28,10,21,41,16,27,21,6,24,18
184,2015-08-30,36,12,21,40,18,36,21,41,68,29
185,2015-09-06,49,16,21,46,34,47,21,52,34,32
186,2015-09-13,100,33,33,100,94,100,21,94,23,64
187,2015-09-20,92,33,55,86,100,95,43,94,31,59
188,2015-09-27,70,25,65,75,83,73,43,61,38,55
189,2015-10-04,57,20,22,52,58,58,21,26,46,52
190,2015-10-11,46,16,22,59,41,48,21,43,23,23
191,2015-10-18,42,14,22,60,36,43,21,27,48,27
192,2015-10-25,44,15,22,56,27,43,22,18,34,43
193,2015-11-01,44,14,45,36,27,43,22,15,24,12
