Modal Price ginger,Price Date
6000,2013/12/30
6000,2013/12/31
5450,2014/01/01
5950,2014/01/02
5950,2014/01/03
5950,2014/01/05
5950,2014/01/06
5950,2014/01/07
5750,2014/01/08
5750,2014/01/09
5900,2014/01/10
5400,2014/01/13
5250,2014/01/13
5450,2014/01/15
5750,2014/01/16
5400,2014/01/17
5250,2014/01/20
5450,2014/01/21
5500,2014/01/22
5400,2014/01/23
5250,2014/01/24
5500,2014/01/27
5500,2014/01/28
5500,2014/01/29
5400,2014/01/30
5250,2014/01/31
5250,2014/02/03
5250,2014/02/04
5250,2014/02/05
5700,2014/02/06
5600,2014/02/07
5500,2014/02/10
5750,2014/02/11
4900,2014/02/12
5700,2014/02/13
5650,2014/02/14
5650,2014/02/17
5600,2014/02/18
5500,2014/02/20
5650,2014/02/21
5750,2014/02/24
5500,2014/02/25
5600,2014/02/26
5600,2014/02/28
6300,2014/03/03
5350,2014/03/04
5400,2014/03/05
5650,2014/03/06
5850,2014/03/07
5850,2014/03/09
5600,2014/03/10
5600,2014/03/11
5850,2014/03/12
5600,2014/03/13
5600,2014/03/14
5650,2014/03/16
5670,2014/03/18
5950,2014/03/19
5900,2014/03/20
6250,2014/03/21
6000,2014/03/23
7350,2014/03/24
6750,2014/03/25
6750,2014/03/26
6250,2014/03/27
5750,2014/03/28
6750,2014/04/01
5750,2014/04/02
6800,2014/04/03
6500,2014/04/04
6250,2014/04/07
6500,2014/04/09
6650,2014/04/21
6250,2014/04/22
6250,2014/04/23
6780,2014/04/24
6750,2014/04/25
6150,2014/04/27
5750,2014/04/28
6000,2014/04/29
5700,2014/04/30
6250,2014/05/02
6270,2014/05/05
5600,2014/05/06
6550,2014/05/07
6600,2014/05/08
6300,2014/05/09
6550,2014/05/12
6900,2014/05/14
6750,2014/05/15
6550,2014/05/16
6500,2014/06/10
6000,2014/06/11
6000,2014/06/12
5500,2014/06/15
5000,2014/06/16
5000,2014/06/17
5150,2014/06/23
5150,2014/06/24
5050,2014/06/25
5500,2014/06/26
5100,2014/06/27
5000,2014/06/30
5150,2014/07/01
5150,2014/07/02
5100,2014/07/03
5100,2014/07/04
5050,2014/07/06
5150,2014/07/07
5150,2014/07/08
5150,2014/07/09
5000,2014/07/10
5000,2014/07/11
5250,2014/07/13
5250,2014/07/14
5250,2014/07/15
5250,2014/07/16
5150,2014/07/17
4700,2014/07/18
5400,2014/07/21
5400,2014/07/22
5500,2014/07/23
5500,2014/07/24
5500,2014/07/25
5550,2014/07/27
5500,2014/07/28
2500,2014/07/28
5500,2014/07/29
5500,2014/07/30
6000,2014/07/31
5400,2014/08/01
6250,2014/08/03
5500,2014/08/04
5500,2014/08/05
5500,2014/08/06
5900,2014/08/07
6000,2014/08/08
6000,2014/08/10
5100,2014/08/11
5000,2014/08/12
5000,2014/08/13
5650,2014/08/14
5000,2014/08/17
4500,2014/08/19
4900,2014/08/20
5000,2014/08/21
5000,2014/08/22
4500,2014/08/24
4500,2014/08/25
4800,2014/08/26
4450,2014/08/27
5150,2014/08/28
5250,2014/08/29
5750,2014/08/31
5150,2014/09/01
4250,2014/09/02
4650,2014/09/03
4250,2014/09/04
4450,2014/09/05
5300,2014/09/07
4250,2014/09/10
4500,2014/09/12
3500,2014/09/14
4000,2014/09/15
4000,2014/09/17
4000,2014/09/18
4000,2014/09/19
3500,2014/09/21
3500,2014/09/22
3250,2014/09/23
3250,2014/09/24
3500,2014/10/01
3250,2014/10/05
3300,2014/10/07
3300,2014/10/08
3250,2014/10/09
3250,2014/10/10
4100,2014/10/12
3900,2014/10/13
3300,2014/10/14
3150,2014/10/16
3250,2014/10/17
4000,2014/10/19
3500,2014/10/20
3250,2014/10/21
3500,2014/10/26
3500,2014/10/27
3500,2014/10/28
3300,2014/10/29
3100,2014/10/30
3250,2014/10/31
4000,2014/11/02
3400,2014/11/03
3250,2014/11/05
3250,2014/11/07
3250,2014/11/09
3250,2014/11/10
3250,2014/11/11
3250,2014/11/12
3250,2014/11/13
4250,2014/11/17
3500,2014/11/19
3250,2014/11/21
3500,2014/11/23
3550,2014/11/24
3100,2014/11/25
3050,2014/11/26
3250,2014/11/27
2750,2014/11/30
3150,2014/12/01
3250,2014/12/02
3000,2014/12/04
3000,2014/12/05
3250,2014/12/07
2550,2014/12/08
3050,2014/12/09
3050,2014/12/10
2780,2014/12/11
2750,2014/12/12
2750,2014/12/14
2700,2014/12/15
2750,2014/12/18
2750,2014/12/21
2750,2014/12/22
2700,2014/12/23
3150,2014/12/24
2700,2014/12/26
2700,2014/12/28
2700,2014/12/29
2700,2014/12/30
5250,2015/01/21
2900,2015/02/25
2500,2015/03/01
2650,2015/03/02
2900,2015/03/03
2800,2015/03/04
2750,2015/03/05
3000,2015/03/08
3000,2015/03/09
3050,2015/03/10
3200,2015/03/11
3050,2015/03/12
3050,2015/03/13
3050,2015/03/17
3050,2015/03/18
3100,2015/03/19
3050,2015/03/20
3100,2015/03/22
3100,2015/03/23
750,2015/03/23
3050,2015/03/24
2750,2015/03/25
3050,2015/03/26
3050,2015/03/27
3050,2015/03/29
2000,2015/04/02
2650,2015/04/03
2550,2015/04/05
3100,2015/04/06
2550,2015/04/07
2600,2015/04/09
2550,2015/04/10
2550,2015/04/12
2550,2015/04/15
2550,2015/04/16
2600,2015/04/17
2550,2015/04/19
3500,2015/04/19
2500,2015/04/23
2750,2015/04/24
2750,2015/04/26
4000,2015/04/26
2500,2015/04/27
2530,2015/04/28
2500,2015/04/29
2450,2015/05/03
2950,2015/05/05
3000,2015/05/06
2350,2015/05/08
2400,2015/05/10
2650,2015/05/13
2250,2015/05/14
2400,2015/05/15
2400,2015/05/17
2400,2015/05/18
2400,2015/05/19
2650,2015/05/20
2250,2015/05/21
2450,2015/05/22
2550,2015/05/24
2400,2015/05/25
2400,2015/05/26
2400,2015/05/27
2500,2015/05/28
2500,2015/05/29
2400,2015/05/31
2700,2015/06/01
2400,2015/06/02
2450,2015/06/03
2400,2015/06/04
2800,2015/06/05
2750,2015/06/07
3400,2015/06/09
3400,2015/06/10
3350,2015/06/12
3450,2015/06/14
3250,2015/06/15
3350,2015/06/16
2900,2015/06/17
3800,2015/06/18
3050,2015/06/19
4000,2015/06/21
3500,2015/06/23
3000,2015/06/25
3500,2015/06/26
3500,2015/06/29
3600,2015/06/30
3600,2015/07/01
3000,2015/07/02
3000,2015/07/03
3000,2015/07/05
3000,2015/07/06
3000,2015/07/07
3200,2015/07/08
3400,2015/07/09
3400,2015/07/10
3400,2015/07/12
3400,2015/07/13
3000,2015/07/14
3000,2015/07/15
3000,2015/07/16
3400,2015/07/17
3300,2015/07/19
3400,2015/07/20
3500,2015/07/21
3600,2015/07/22
3250,2015/07/23
3600,2015/07/26
3200,2015/07/27
3200,2015/07/28
2900,2015/07/29
3600,2015/07/30
3400,2015/07/31
3300,2015/08/02
3500,2015/08/03
3600,2015/08/04
3400,2015/08/05
3500,2015/08/06
2200,2015/08/07
3500,2015/08/09
4000,2015/08/10
4200,2015/08/11
3600,2015/08/12
3200,2015/08/13
4000,2015/08/14
4000,2015/08/16
4000,2015/08/19
