Modal PriceBrinjal,Price Date
1050,2012/08/13
1200,2012/08/14
1150,2012/08/16
1050,2012/08/17
1050,2012/08/19
1150,2012/08/20
1150,2012/08/21
1050,2012/08/22
1200,2012/08/23
1100,2012/08/26
1100,2012/08/27
1100,2012/08/28
1150,2012/08/29
1050,2012/08/30
1050,2012/09/02
1000,2012/09/03
950,2012/09/04
950,2012/09/07
1050,2012/09/09
1050,2012/09/10
1150,2012/09/12
1050,2012/09/13
1200,2012/09/14
1300,2012/09/16
1200,2012/09/17
1200,2012/09/18
1300,2012/09/19
1500,2012/09/20
1300,2012/09/21
1150,2012/09/23
1100,2012/09/24
1350,2012/09/25
1150,2012/09/26
1100,2012/09/27
1200,2012/09/28
1100,2012/10/01
900,2012/10/03
1000,2012/10/04
850,2012/10/05
850,2012/10/07
950,2012/10/08
1000,2012/10/09
1200,2012/10/11
1200,2012/10/12
1200,2012/10/14
1400,2012/10/15
1300,2012/10/16
1150,2012/10/17
1200,2012/10/18
1200,2012/10/21
1200,2012/10/22
1200,2012/10/23
1200,2012/10/26
1300,2012/10/28
1300,2012/10/29
1250,2012/10/30
1150,2012/10/31
1200,2012/11/01
1200,2012/11/02
1400,2012/11/04
1400,2012/11/06
1400,2012/11/07
1400,2012/11/08
1400,2012/11/09
1250,2012/11/11
1200,2012/11/12
600,2012/11/13
1050,2012/11/16
750,2012/11/18
800,2012/11/19
950,2012/11/20
1200,2012/11/21
1150,2012/11/22
1200,2012/11/23
1200,2012/11/25
1100,2012/11/26
1300,2012/11/27
900,2012/11/28
850,2012/11/29
850,2012/11/30
800,2012/12/09
800,2012/12/10
900,2012/12/11
800,2012/12/12
1250,2012/12/14
1150,2012/12/16
1150,2012/12/17
1150,2012/12/17
1300,2012/12/19
1300,2012/12/20
1400,2012/12/21
1150,2012/12/27
1100,2012/12/28
1200,2012/12/30
1200,2012/12/31
1250,2013/01/01
700,2013/01/01
1200,2013/01/02
850,2013/01/02
1000,2013/01/03
950,2013/01/03
1100,2013/01/04
500,2013/01/04
1000,2013/01/05
900,2013/01/06
800,2013/01/06
1000,2013/01/07
1000,2013/01/07
1050,2013/01/08
1000,2013/01/08
900,2013/01/09
1300,2013/01/10
800,2013/01/10
1550,2013/01/11
1050,2013/01/11
1500,2013/01/13
1000,2013/01/13
1350,2013/01/14
1100,2013/01/14
1400,2013/01/15
1100,2013/01/16
1600,2013/01/17
850,2013/01/17
1600,2013/01/18
1100,2013/01/18
1050,2013/01/19
1900,2013/01/20
1000,2013/01/20
1850,2013/01/21
1050,2013/01/21
1300,2013/01/22
1100,2013/01/22
1100,2013/01/23
1100,2013/01/24
1050,2013/01/25
1150,2013/01/25
950,2013/01/27
1000,2013/01/28
1050,2013/01/28
950,2013/01/29
1000,2013/01/29
800,2013/01/30
800,2013/02/01
850,2013/02/01
1100,2013/02/02
750,2013/02/03
750,2013/02/04
700,2013/02/05
800,2013/02/05
1000,2013/02/06
750,2013/02/06
750,2013/02/10
750,2013/02/10
750,2013/02/11
800,2013/02/11
650,2013/02/12
800,2013/02/13
800,2013/02/14
700,2013/02/14
800,2013/02/15
700,2013/02/15
800,2013/02/16
800,2013/02/17
750,2013/02/17
600,2013/02/18
750,2013/02/19
700,2013/02/19
750,2013/02/20
1250,2013/02/20
1050,2013/02/21
900,2013/02/21
1350,2013/02/24
1150,2013/02/25
950,2013/02/25
1000,2013/02/26
900,2013/02/26
1000,2013/02/27
850,2013/03/01
850,2013/03/02
900,2013/03/03
1250,2013/03/04
1300,2013/03/05
950,2013/03/05
1500,2013/03/07
1250,2013/03/07
1300,2013/03/08
1100,2013/03/09
1400,2013/03/10
1550,2013/03/10
1300,2013/03/11
1150,2013/03/11
1300,2013/03/12
1000,2013/03/12
1300,2013/03/13
1000,2013/03/13
1150,2013/03/14
1400,2013/03/15
1150,2013/03/15
1050,2013/03/16
1400,2013/03/17
1000,2013/03/17
1300,2013/03/18
1050,2013/03/18
1400,2013/03/19
1000,2013/03/19
1400,2013/03/20
1100,2013/03/20
1400,2013/03/21
1500,2013/03/22
1200,2013/03/22
1400,2013/03/23
1100,2013/03/24
1400,2013/03/25
1000,2013/03/25
1300,2013/03/26
1300,2013/03/26
1250,2013/03/27
1300,2013/03/28
850,2013/03/28
1200,2013/03/29
750,2013/03/29
800,2013/03/30
1100,2013/03/31
1050,2013/03/31
1100,2013/04/01
1650,2013/04/01
1650,2013/04/01
850,2013/04/02
1600,2013/04/02
1050,2013/04/03
1100,2013/04/03
1100,2013/04/04
1500,2013/04/04
1800,2013/04/05
1000,2013/04/06
1800,2013/04/06
1100,2013/04/07
900,2013/04/07
1900,2013/04/07
1100,2013/04/08
1250,2013/04/08
1700,2013/04/08
1050,2013/04/09
1750,2013/04/09
1100,2013/04/10
1000,2013/04/10
1900,2013/04/10
1050,2013/04/11
1000,2013/04/11
1700,2013/04/11
1200,2013/04/12
1100,2013/04/12
1900,2013/04/12
1800,2013/04/13
1050,2013/04/14
1800,2013/04/14
1000,2013/04/15
900,2013/04/15
1900,2013/04/15
1050,2013/04/16
1100,2013/04/16
1500,2013/04/16
1000,2013/04/17
750,2013/04/17
1600,2013/04/17
1050,2013/04/18
850,2013/04/18
1650,2013/04/18
1000,2013/04/19
950,2013/04/19
1750,2013/04/19
800,2013/04/20
1650,2013/04/20
1100,2013/04/21
1600,2013/04/21
1100,2013/04/22
1000,2013/04/22
1600,2013/04/22
1050,2013/04/23
850,2013/04/23
1700,2013/04/23
1000,2013/04/24
1000,2013/04/24
1200,2013/04/25
550,2013/04/25
750,2013/04/26
950,2013/04/27
1000,2013/04/28
900,2013/04/28
1600,2013/04/28
1100,2013/04/29
1150,2013/04/29
1400,2013/04/29
1200,2013/04/30
1650,2013/04/30
1250,2013/05/02
1100,2013/05/03
850,2013/05/03
400,2013/05/03
750,2013/05/04
1600,2013/05/04
1300,2013/05/05
950,2013/05/05
1300,2013/05/06
1000,2013/05/06
1500,2013/05/06
1400,2013/05/07
1200,2013/05/07
1200,2013/05/08
1500,2013/05/08
1400,2013/05/09
1000,2013/05/09
1500,2013/05/09
1200,2013/05/10
1150,2013/05/10
1800,2013/05/10
2000,2013/05/11
1400,2013/05/12
2000,2013/05/12
1500,2013/05/13
1050,2013/05/13
2250,2013/05/13
1750,2013/05/14
1500,2013/05/14
1850,2013/05/14
2250,2013/05/15
1400,2013/05/15
2250,2013/05/15
2000,2013/05/16
1300,2013/05/16
2400,2013/05/16
1150,2013/05/17
2400,2013/05/17
1050,2013/05/18
1750,2013/05/19
1750,2013/05/19
2250,2013/05/19
1750,2013/05/20
2500,2013/05/20
2000,2013/05/21
1500,2013/05/21
2250,2013/05/21
1850,2013/05/22
2000,2013/05/23
1750,2013/05/23
2800,2013/05/23
2000,2013/05/24
1950,2013/05/24
2750,2013/05/24
2000,2013/05/25
2750,2013/05/25
2000,2013/05/26
2000,2013/05/26
2750,2013/05/26
2150,2013/05/27
2250,2013/05/27
3250,2013/05/27
1950,2013/05/28
3000,2013/05/28
2250,2013/05/29
1750,2013/05/29
3250,2013/05/29
2250,2013/05/30
2000,2013/05/30
3250,2013/05/30
2000,2013/05/31
2400,2013/05/31
1600,2013/06/01
2400,2013/06/02
1600,2013/06/03
3400,2013/06/09
1500,2013/06/11
3350,2013/06/11
2350,2013/06/13
2350,2013/06/14
3250,2013/06/14
2500,2013/06/15
2250,2013/06/17
2750,2013/06/17
2300,2013/06/18
2350,2013/06/19
2750,2013/06/19
3250,2013/06/19
2500,2013/06/20
2500,2013/06/21
3000,2013/06/21
2750,2013/06/21
2500,2013/06/22
2350,2013/06/23
2500,2013/06/23
2200,2013/06/24
3250,2013/06/24
2450,2013/06/26
1850,2013/06/26
2600,2013/06/27
2350,2013/06/28
2750,2013/06/28
2200,2013/06/30
2750,2013/06/30
2450,2013/07/01
2250,2013/07/01
2200,2013/07/03
2000,2013/07/04
2250,2013/07/04
1750,2013/07/05
2000,2013/07/05
2750,2013/07/06
1750,2013/07/07
1600,2013/07/07
1100,2013/07/08
1750,2013/07/08
1100,2013/07/09
2500,2013/07/09
2250,2013/07/09
1650,2013/07/10
1650,2013/07/10
2750,2013/07/10
800,2013/07/11
1050,2013/07/12
1100,2013/07/14
1050,2013/07/15
1750,2013/07/15
1400,2013/07/16
2000,2013/07/17
1750,2013/07/19
1750,2013/07/21
1750,2013/07/22
1750,2013/07/23
2000,2013/07/23
2000,2013/07/24
2500,2013/07/25
2450,2013/07/26
1900,2013/07/26
1200,2013/07/27
2350,2013/07/28
2900,2013/07/29
650,2013/07/29
2450,2013/07/30
3000,2013/07/30
2500,2013/07/31
1500,2013/07/31
2500,2013/08/01
3000,2013/08/02
2000,2013/08/02
2750,2013/08/03
3100,2013/08/08
1500,2013/09/26
2000,2013/09/27
2500,2013/09/30
2750,2013/10/01
2050,2013/10/02
2450,2013/10/03
2500,2013/10/03
2500,2013/10/04
2500,2013/10/04
2350,2013/10/07
2450,2013/10/08
2250,2013/10/09
2000,2013/10/10
2500,2013/10/10
2750,2013/10/11
2250,2013/10/11
2500,2013/10/15
2500,2013/10/16
2000,2013/10/16
2500,2013/10/17
2150,2013/10/17
3000,2013/10/18
2500,2013/10/21
2750,2013/10/22
2500,2013/10/29
2500,2013/10/30
2500,2013/10/31
2250,2013/11/06
2350,2013/11/06
2000,2013/11/07
1750,2013/11/08
2000,2013/11/10
1750,2013/11/11
2000,2013/11/12
1550,2013/11/13
1750,2013/11/14
2000,2013/11/18
1850,2013/11/19
2750,2013/11/19
1150,2013/11/20
1500,2013/11/20
1750,2013/11/21
1750,2013/11/22
1900,2013/11/22
1250,2013/11/23
1500,2013/11/24
1600,2013/11/24
1250,2013/11/25
1500,2013/11/26
1300,2013/11/27
1050,2013/11/28
1200,2013/11/29
1300,2013/11/29
850,2013/12/01
750,2013/12/02
1050,2013/12/03
800,2013/12/04
700,2013/12/05
950,2013/12/05
700,2013/12/06
1600,2013/12/09
850,2013/12/09
1400,2013/12/10
1500,2013/12/10
1750,2013/12/11
1100,2013/12/11
1650,2013/12/12
1600,2013/12/12
1500,2013/12/13
1500,2013/12/13
1450,2013/12/14
1500,2013/12/15
1300,2013/12/15
1400,2013/12/16
1650,2013/12/17
1500,2013/12/18
1500,2013/12/18
1650,2013/12/19
1750,2013/12/19
1400,2013/12/20
1400,2013/12/20
1500,2013/12/21
1150,2013/12/22
1200,2013/12/23
1150,2013/12/23
1200,2013/12/24
1150,2013/12/24
1000,2013/12/25
1300,2013/12/26
900,2013/12/26
850,2013/12/27
900,2013/12/27
800,2013/12/29
700,2013/12/29
700,2013/12/30
650,2013/12/30
550,2013/12/31
550,2014/01/01
950,2014/01/01
700,2014/01/02
500,2014/01/02
600,2014/01/03
400,2014/01/03
550,2014/01/04
700,2014/01/05
500,2014/01/05
700,2014/01/06
600,2014/01/06
700,2014/01/07
950,2014/01/07
1100,2014/01/08
750,2014/01/08
900,2014/01/09
1050,2014/01/09
900,2014/01/10
850,2014/01/10
1250,2014/01/11
900,2014/01/13
1000,2014/01/13
1150,2014/01/15
900,2014/01/16
1000,2014/01/16
1000,2014/01/17
900,2014/01/17
1100,2014/01/17
1100,2014/01/18
1350,2014/01/19
800,2014/01/20
600,2014/01/20
1350,2014/01/20
900,2014/01/21
850,2014/01/21
1600,2014/01/21
800,2014/01/22
550,2014/01/22
1350,2014/01/22
800,2014/01/23
1250,2014/01/23
800,2014/01/24
700,2014/01/24
1200,2014/01/24
850,2014/01/25
1350,2014/01/26
700,2014/01/27
750,2014/01/27
1200,2014/01/27
700,2014/01/28
650,2014/01/28
1300,2014/01/28
700,2014/01/29
650,2014/01/29
1350,2014/01/29
650,2014/01/30
1150,2014/01/30
700,2014/01/31
600,2014/01/31
700,2014/02/01
800,2014/02/03
700,2014/02/03
800,2014/02/04
1050,2014/02/04
750,2014/02/05
850,2014/02/05
950,2014/02/06
750,2014/02/06
900,2014/02/07
650,2014/02/07
1050,2014/02/10
750,2014/02/10
1350,2014/02/10
700,2014/02/11
900,2014/02/12
650,2014/02/12
1350,2014/02/12
950,2014/02/13
1000,2014/02/13
1000,2014/02/14
1000,2014/02/15
1350,2014/02/15
750,2014/02/17
900,2014/02/17
950,2014/02/18
950,2014/02/18
900,2014/02/19
2400,2014/02/19
950,2014/02/20
850,2014/02/20
900,2014/02/21
900,2014/02/21
950,2014/02/24
1000,2014/02/24
1050,2014/02/25
900,2014/02/25
950,2014/02/26
800,2014/02/26
1350,2014/02/26
950,2014/02/28
900,2014/02/28
850,2014/03/01
850,2014/03/03
1000,2014/03/03
850,2014/03/04
1000,2014/03/04
850,2014/03/05
950,2014/03/05
850,2014/03/06
1100,2014/03/06
850,2014/03/07
800,2014/03/07
1000,2014/03/08
900,2014/03/09
1000,2014/03/09
1250,2014/03/10
1000,2014/03/10
900,2014/03/11
1000,2014/03/11
850,2014/03/12
800,2014/03/12
900,2014/03/13
900,2014/03/13
750,2014/03/14
800,2014/03/14
850,2014/03/15
700,2014/03/16
750,2014/03/16
850,2014/03/17
750,2014/03/18
750,2014/03/18
750,2014/03/19
800,2014/03/19
700,2014/03/20
700,2014/03/20
700,2014/03/21
700,2014/03/23
1000,2014/03/24
850,2014/03/24
650,2014/03/25
750,2014/03/25
850,2014/03/26
750,2014/03/26
800,2014/03/27
900,2014/03/28
800,2014/03/28
700,2014/03/29
710,2014/03/31
650,2014/04/01
850,2014/04/01
900,2014/04/02
800,2014/04/02
1050,2014/04/03
700,2014/04/03
800,2014/04/04
800,2014/04/04
800,2014/04/05
900,2014/04/07
750,2014/04/07
700,2014/04/08
800,2014/04/09
700,2014/04/09
750,2014/04/10
700,2014/04/11
850,2014/04/13
850,2014/04/14
850,2014/04/15
1200,2014/04/18
800,2014/04/19
750,2014/04/20
800,2014/04/20
1150,2014/04/21
900,2014/04/22
850,2014/04/22
900,2014/04/23
1100,2014/04/23
750,2014/04/24
900,2014/04/24
750,2014/04/25
700,2014/04/25
650,2014/04/26
850,2014/04/27
800,2014/04/27
900,2014/04/28
650,2014/04/28
850,2014/04/29
1000,2014/04/29
1050,2014/04/30
750,2014/04/30
900,2014/05/02
900,2014/05/02
700,2014/05/03
1000,2014/05/04
900,2014/05/04
1100,2014/05/05
800,2014/05/05
950,2014/05/06
750,2014/05/06
900,2014/05/07
1000,2014/05/07
900,2014/05/08
800,2014/05/08
1050,2014/05/09
1300,2014/05/12
1250,2014/05/12
1300,2014/05/13
1100,2014/05/13
1500,2014/05/14
1300,2014/05/15
1250,2014/05/15
1700,2014/05/16
1250,2014/05/16
1200,2014/05/17
1750,2014/06/03
1500,2014/06/04
2000,2014/06/05
1100,2014/06/06
1750,2014/06/07
1500,2014/06/08
1750,2014/06/09
1750,2014/06/10
1800,2014/06/10
2050,2014/06/11
1850,2014/06/11
1750,2014/06/12
1750,2014/06/12
1400,2014/06/13
1500,2014/06/14
1750,2014/06/15
2000,2014/06/15
2000,2014/06/16
2000,2014/06/16
1750,2014/06/17
2100,2014/06/17
1750,2014/06/18
2100,2014/06/19
2000,2014/06/20
2100,2014/06/22
2250,2014/06/22
2500,2014/06/23
2500,2014/06/23
2250,2014/06/24
2000,2014/06/24
2250,2014/06/25
2250,2014/06/25
2500,2014/06/26
2500,2014/06/27
2000,2014/06/27
2100,2014/06/28
2500,2014/06/29
2250,2014/06/29
2500,2014/06/30
1800,2014/06/30
2500,2014/07/01
2250,2014/07/01
2500,2014/07/02
2100,2014/07/02
2500,2014/07/03
2500,2014/07/03
2500,2014/07/04
2500,2014/07/04
2000,2014/07/05
1750,2014/07/06
1750,2014/07/06
1500,2014/07/07
2050,2014/07/07
