Modal PriceLadiesfing,Price Date
2750,2016/08/10
3100,2016/08/11
2500,2016/08/12
2600,2016/08/13
2750,2016/08/14
2600,2016/08/16
2000,2016/08/17
2200,2016/08/18
1800,2016/08/19
2100,2016/08/20
2400,2016/08/21
2250,2016/08/22
2100,2016/08/23
1700,2016/08/24
2400,2016/08/25
1300,2016/08/26
1600,2016/08/27
2000,2016/08/28
1600,2016/08/29
1900,2016/08/30
1750,2016/08/31
1500,2016/09/01
1400,2016/09/02
1700,2016/09/03
1700,2016/09/04
1600,2016/09/05
1700,2016/09/06
2400,2016/09/07
2200,2016/09/08
1800,2016/09/09
1500,2016/09/11
1600,2016/09/12
1600,2016/09/13
1150,2016/09/14
1400,2016/09/15
1600,2016/09/17
2500,2016/09/18
2100,2016/09/19
2600,2016/09/20
2250,2016/09/21
2100,2016/09/22
1600,2016/09/23
1700,2016/09/24
2300,2016/09/25
4300,2016/09/26
2100,2016/09/27
2800,2016/09/28
2900,2016/09/29
1600,2016/09/30
2800,2016/10/01
2400,2016/10/02
2500,2016/10/03
3300,2016/10/04
3700,2016/10/05
3900,2016/10/06
3600,2016/10/07
3700,2016/10/08
3250,2016/10/09
2700,2016/10/10
1700,2016/10/11
1500,2016/10/12
1700,2016/10/13
2250,2016/10/14
2400,2016/10/15
2700,2016/10/16
2700,2016/10/17
2700,2016/10/18
2200,2016/10/19
2900,2016/10/20
2600,2016/10/21
2300,2016/10/22
2700,2016/10/23
3800,2016/10/24
2800,2016/10/25
2300,2016/10/26
2300,2016/10/27
2300,2016/10/28
2100,2016/10/29
2300,2016/10/30
2300,2016/10/31
2300,2016/11/01
3000,2016/11/02
3200,2016/11/03
3000,2016/11/04
3000,2016/11/05
3100,2016/11/06
3500,2016/11/07
3200,2016/11/08
3200,2016/11/09
3500,2016/11/10
3000,2016/11/11
3500,2016/11/12
3200,2016/11/13
3900,2016/11/14
3900,2016/11/15
3900,2016/11/16
3000,2016/11/17
2800,2016/11/18
2900,2016/11/19
3200,2016/11/20
2500,2016/11/21
3600,2016/11/22
3800,2016/11/23
3800,2016/11/25
3500,2016/11/26
4000,2016/11/27
3500,2016/11/28
3500,2016/11/29
3300,2016/11/30
3300,2016/12/01
3100,2016/12/02
3400,2016/12/03
3800,2016/12/04
3000,2016/12/05
2500,2016/12/06
2800,2016/12/07
3000,2016/12/08
3100,2016/12/09
3000,2016/12/10
3400,2016/12/11
3200,2016/12/12
3100,2016/12/13
3500,2016/12/14
3300,2016/12/15
3300,2016/12/16
2800,2016/12/17
1800,2016/12/18
2600,2016/12/19
2800,2016/12/20
3000,2016/12/21
3300,2016/12/22
3300,2016/12/23
3300,2016/12/24
3300,2016/12/25
2800,2016/12/26
3100,2016/12/27
3000,2016/12/28
3000,2016/12/29
2800,2016/12/30
2900,2016/12/31
2500,2017/01/01
2800,2017/01/02
2800,2017/01/03
3500,2017/01/04
3200,2017/01/05
2900,2017/01/06
2900,2017/01/07
3300,2017/01/08
3200,2017/01/09
3000,2017/01/10
2900,2017/01/11
3000,2017/01/12
3000,2017/01/13
2800,2017/01/14
2200,2017/01/15
2600,2017/01/16
3200,2017/01/17
2800,2017/01/18
3100,2017/01/19
3000,2017/01/24
3600,2017/01/25
3100,2017/01/27
2800,2017/01/28
3100,2017/01/29
3300,2017/01/30
3300,2017/01/31
3500,2017/02/01
3500,2017/02/02
3300,2017/02/03
3300,2017/02/04
3100,2017/02/05
3300,2017/02/06
3300,2017/02/07
2500,2017/02/08
2800,2017/02/09
2900,2017/02/10
3000,2017/02/11
3000,2017/02/12
2600,2017/02/13
3000,2017/02/14
3800,2017/02/15
3000,2017/02/16
3200,2017/02/17
3400,2017/02/18
3000,2017/02/22
3200,2017/02/23
4000,2017/02/27
4000,2017/02/28
4000,2017/03/01
4200,2017/03/02
4700,2017/03/03
4200,2017/03/04
3900,2017/03/05
4200,2017/03/06
4400,2017/03/07
4700,2017/03/08
4200,2017/03/09
4300,2017/03/10
3500,2017/03/11
4200,2017/03/12
3800,2017/03/13
4000,2017/03/14
4200,2017/03/15
4600,2017/03/16
3900,2017/03/17
4200,2017/03/19
4100,2017/03/20
3800,2017/03/21
3700,2017/03/23
4900,2017/03/25
4000,2017/03/26
4600,2017/03/27
3900,2017/03/28
4000,2017/03/29
3600,2017/03/30
4000,2017/03/31
4000,2017/04/01
3400,2017/04/02
3400,2017/04/03
3600,2017/04/04
3800,2017/04/05
3900,2017/04/06
3900,2017/04/07
4200,2017/04/08
3500,2017/04/09
2500,2014/11/10
2250,2014/11/11
2500,2014/11/12
2400,2014/11/13
1500,2014/11/14
2250,2014/11/17
3000,2014/11/19
2500,2014/11/20
3000,2014/11/21
2900,2014/11/24
2500,2014/11/25
4000,2014/11/26
2250,2014/11/27
3000,2014/11/28
2500,2014/11/29
2500,2014/11/30
3000,2014/12/01
3000,2014/12/02
2750,2014/12/04
4000,2014/12/05
4500,2014/12/06
3500,2014/12/07
3000,2014/12/08
2750,2014/12/09
3000,2014/12/10
2500,2014/12/11
3250,2014/12/12
3000,2014/12/14
4000,2014/12/15
3000,2014/12/16
3000,2014/12/17
3000,2014/12/18
4000,2014/12/19
2500,2014/12/20
4000,2014/12/21
3000,2014/12/22
4500,2014/12/23
3000,2014/12/24
3000,2014/12/26
3000,2014/12/29
3000,2014/12/30
3000,2014/12/31
3500,2015/01/01
4000,2015/01/02
3250,2015/01/03
3000,2015/01/05
3000,2015/01/06
2750,2015/01/07
3000,2015/01/08
3250,2015/01/09
5000,2015/01/16
5000,2015/01/16
4000,2015/01/17
4000,2015/01/17
4000,2015/01/18
4000,2015/01/18
4500,2015/01/20
3500,2015/01/21
3000,2015/01/27
3000,2015/01/28
3000,2015/01/30
3000,2015/02/03
3000,2015/02/04
3000,2015/02/05
3500,2015/02/11
3500,2015/02/12
3000,2015/02/13
3000,2015/02/15
3500,2015/02/25
2600,2015/03/02
3250,2015/03/03
1500,2015/03/04
4000,2015/03/07
2650,2015/03/08
3000,2015/03/09
3500,2015/03/10
2000,2015/03/11
2250,2015/03/12
3900,2015/03/13
3000,2015/03/14
2750,2015/03/15
3500,2015/03/16
2250,2015/03/17
3500,2015/03/19
3500,2015/03/20
3250,2015/03/23
3100,2015/03/24
3250,2015/03/26
3250,2015/03/27
3000,2015/03/29
3000,2015/03/30
3000,2015/03/31
3400,2015/04/01
1700,2015/04/02
1750,2015/04/03
3250,2015/04/04
3000,2015/04/05
2500,2015/04/06
2500,2015/04/07
2650,2015/04/08
2100,2015/04/10
1750,2015/04/12
1750,2015/04/15
2250,2015/04/16
2150,2015/04/17
1900,2015/04/18
1800,2015/04/19
1750,2015/04/23
1400,2015/04/24
1750,2015/04/26
1900,2015/04/27
1900,2015/04/28
1700,2015/04/29
1950,2015/05/05
2000,2015/05/06
1550,2015/05/08
1750,2015/05/10
1500,2015/05/13
2250,2015/05/14
1750,2015/05/15
2250,2015/05/16
1900,2015/05/17
2250,2015/05/18
1750,2015/05/19
2000,2015/05/20
1650,2015/05/21
1750,2015/05/22
2000,2015/05/24
2000,2015/05/25
1900,2015/05/26
1800,2015/05/27
1900,2015/05/28
2000,2015/05/29
2000,2015/05/30
2250,2015/06/01
1750,2015/06/02
1750,2015/06/03
2000,2015/06/04
2000,2015/06/05
2000,2015/06/06
2200,2015/06/07
2000,2015/06/08
1900,2015/06/09
1750,2015/06/10
2200,2015/06/11
2100,2015/06/12
1900,2015/06/13
2100,2015/06/14
2250,2015/06/15
2250,2015/06/16
1800,2015/06/17
1900,2015/06/18
2250,2015/06/19
2250,2015/06/20
2000,2015/06/21
2500,2015/06/26
2500,2015/06/27
2500,2015/06/29
3000,2015/06/30
3000,2015/07/01
2500,2015/07/02
3000,2015/07/03
1500,2015/07/04
2000,2015/07/05
2000,2015/07/06
2500,2015/07/07
3000,2015/07/08
1500,2015/07/09
2000,2015/07/12
1500,2015/07/13
1500,2015/07/14
1700,2015/07/15
1500,2015/07/16
1600,2015/07/20
1500,2015/07/21
1800,2015/07/22
1800,2015/07/23
1800,2015/07/24
2000,2015/07/27
1900,2015/07/28
2000,2015/07/29
2000,2015/07/30
1800,2015/07/31
1600,2015/08/01
2250,2015/08/03
2500,2015/08/04
2500,2015/08/05
2000,2015/08/06
2500,2015/08/07
2500,2015/08/09
2500,2015/08/10
1500,2015/08/12
1200,2015/08/13
2500,2015/08/18
1000,2015/08/19
1200,2015/08/20
2000,2015/08/21
1500,2015/08/22
1500,2015/08/24
1500,2015/08/25
1000,2015/08/26
1500,2015/08/27
1200,2015/08/28
1500,2015/08/31
1450,2015/09/01
1500,2015/09/02
2500,2015/09/04
1800,2015/09/05
1500,2015/09/06
1550,2015/09/07
1500,2015/09/08
1700,2015/09/09
1500,2015/09/10
2000,2015/09/11
1800,2015/09/14
2000,2015/09/15
1500,2015/09/18
2150,2015/09/19
1650,2015/09/20
2000,2015/09/24
3000,2015/09/29
4000,2015/09/30
3000,2015/10/01
2500,2015/10/04
2500,2015/10/05
3000,2015/10/06
2500,2015/10/07
2500,2015/10/08
2600,2015/10/09
2500,2015/10/11
2500,2015/10/12
3000,2015/10/13
2000,2015/10/14
3000,2015/10/15
2000,2012/01/07
2100,2012/01/08
1500,2012/01/09
3000,2012/01/10
2000,2012/01/11
3250,2012/01/14
3000,2012/01/17
4000,2012/01/21
2500,2012/01/24
1900,2012/02/03
3250,2012/02/05
2000,2012/02/13
3000,2012/02/25
3250,2012/02/26
3500,2012/02/27
3000,2012/03/02
3500,2012/03/03
2500,2012/03/04
3500,2012/03/23
3000,2012/03/24
4000,2012/03/25
3400,2012/03/27
3500,2012/03/28
3750,2012/03/29
3250,2012/03/31
325,2012/04/04
3250,2012/04/06
3250,2012/04/08
3000,2012/04/09
3750,2012/04/10
3250,2012/04/11
2700,2012/04/12
2750,2012/04/13
2750,2012/04/14
2750,2012/04/16
2450,2012/04/17
2150,2012/04/20
2300,2012/04/21
2500,2012/04/22
2250,2012/04/23
1900,2012/04/24
2250,2012/04/25
1850,2012/04/26
2200,2012/04/27
2250,2012/04/28
2400,2012/04/29
2300,2012/04/30
1850,2012/05/02
1450,2012/05/10
1250,2012/05/14
1250,2012/05/15
1650,2012/05/16
1150,2012/05/17
1400,2012/05/18
1450,2012/05/19
1200,2012/05/20
1800,2012/05/21
1500,2012/05/22
1500,2012/05/23
1350,2012/05/24
1450,2012/05/25
1350,2012/05/27
1350,2012/05/30
900,2012/05/31
1500,2012/06/01
1500,2012/06/02
2050,2012/06/22
2350,2012/06/29
2250,2012/06/30
2000,2012/07/03
1400,2012/07/10
1750,2012/07/20
2000,2012/07/24
1900,2012/07/25
1850,2012/07/26
2000,2012/08/01
1300,2012/08/02
2200,2012/08/03
2250,2012/08/04
1750,2012/08/07
3000,2012/12/17
2000,2013/01/01
2500,2013/01/02
3000,2013/01/03
2100,2013/01/04
3000,2013/01/05
3500,2013/01/06
2250,2013/01/07
2500,2013/01/08
3250,2013/01/10
2300,2013/01/13
3000,2013/01/14
2250,2013/01/16
1500,2013/01/17
4500,2013/01/20
2500,2013/01/25
3500,2013/01/28
2500,2013/01/29
2500,2013/01/30
2500,2013/02/01
3500,2013/02/02
3250,2013/02/03
2500,2013/02/04
2000,2013/02/05
3500,2013/02/06
3000,2013/02/14
3000,2013/02/15
3500,2013/02/16
3000,2013/02/17
2350,2013/02/18
3000,2013/02/19
3000,2013/02/20
2000,2013/02/21
3200,2013/02/24
3000,2013/02/26
3000,2013/02/27
2500,2013/03/01
3000,2013/03/02
3000,2013/03/03
3000,2013/03/04
2850,2013/03/05
2500,2013/03/07
2500,2013/03/08
1800,2013/03/09
2750,2013/03/10
2500,2013/03/11
2250,2013/03/12
2750,2013/03/13
3000,2013/03/15
2650,2013/03/16
2500,2013/03/17
2500,2013/03/18
2500,2013/03/19
2250,2013/03/20
3500,2013/03/22
2250,2013/03/23
2750,2013/03/24
2750,2013/03/25
3500,2013/03/26
2750,2013/03/27
2750,2013/03/28
3000,2013/03/29
3000,2013/03/30
3000,2013/03/31
3000,2013/04/02
2800,2013/04/03
2350,2013/04/06
2750,2013/04/07
2500,2013/04/08
2500,2013/04/09
2500,2013/04/10
2250,2013/04/11
2500,2013/04/12
2500,2013/04/14
1550,2013/04/15
2100,2013/04/16
2250,2013/04/17
1750,2013/04/18
2300,2013/04/19
2250,2013/04/20
3200,2013/04/22
2000,2013/04/23
1900,2013/04/24
1850,2013/04/25
2000,2013/04/26
1650,2013/04/27
1900,2013/04/28
2000,2013/04/29
2250,2013/05/02
2000,2013/05/03
2400,2013/05/04
1900,2013/05/06
2500,2013/05/07
2400,2013/05/09
2250,2013/05/10
2050,2013/05/13
2500,2013/05/14
2250,2013/05/15
2250,2013/05/16
2250,2013/05/17
2400,2013/05/18
2750,2013/05/19
2500,2013/05/20
2400,2013/05/21
2500,2013/05/22
2550,2013/05/23
2750,2013/05/24
2500,2013/05/25
2500,2013/05/26
2500,2013/05/27
2750,2013/05/28
2500,2013/05/29
2750,2013/05/30
3000,2013/05/31
1950,2013/06/01
2250,2013/06/02
1950,2013/06/03
3100,2013/06/11
2500,2013/06/12
2850,2013/06/13
2950,2013/06/14
3500,2013/06/15
2600,2013/06/16
4000,2013/06/17
3250,2013/06/19
3500,2013/06/21
3500,2013/06/22
3250,2013/06/23
3750,2013/06/24
3250,2013/06/25
3000,2013/06/26
3750,2013/06/28
3850,2013/06/30
3700,2013/07/01
4350,2013/07/02
3750,2013/07/03
3000,2013/07/04
2750,2013/07/05
3250,2013/07/07
2750,2013/07/08
2350,2013/07/09
2500,2013/07/10
2800,2013/07/27
3500,2013/07/29
3600,2013/07/30
2750,2013/07/31
3500,2013/08/02
2750,2013/08/03
1900,2013/10/02
2500,2013/10/03
2000,2013/10/04
2500,2013/10/10
2500,2013/10/11
2000,2013/10/16
1550,2013/10/17
2100,2013/11/06
2000,2013/11/07
1600,2013/11/12
3000,2013/11/20
2500,2013/11/22
2750,2013/11/23
1800,2013/11/29
2500,2013/12/05
2500,2013/12/10
2500,2013/12/11
2500,2013/12/15
3500,2013/12/18
5000,2013/12/19
3000,2013/12/21
2500,2013/12/24
2750,2013/12/25
2500,2013/12/26
3150,2013/12/29
2500,2013/12/30
3000,2013/12/31
2500,2014/01/01
3000,2014/01/02
3000,2014/01/03
2500,2014/01/04
2000,2014/01/05
2500,2014/01/07
2000,2014/01/08
3000,2014/01/09
2500,2014/01/10
2000,2014/01/15
2000,2014/01/16
3000,2014/01/17
3500,2014/01/20
3000,2014/01/21
2500,2014/01/24
2500,2014/01/27
1500,2014/01/28
3000,2014/01/29
2500,2014/01/31
2000,2014/02/03
2500,2014/02/04
2500,2014/02/05
1200,2014/02/06
2500,2014/02/07
3000,2014/02/10
3000,2014/02/11
3000,2014/02/14
2500,2014/02/15
3500,2014/02/19
2500,2014/02/20
2000,2014/02/21
2500,2014/02/25
2200,2014/02/26
3000,2014/03/03
2500,2014/03/04
2000,2014/03/05
2500,2014/03/06
2000,2014/03/07
2750,2014/03/08
2000,2014/03/09
3200,2014/03/10
3200,2014/03/11
2500,2014/03/12
1750,2014/03/13
3000,2014/03/14
2500,2014/03/15
3250,2014/03/16
2500,2014/03/17
1850,2014/03/18
1800,2014/03/19
1400,2014/03/20
2700,2014/03/24
2750,2014/03/25
2350,2014/03/26
2600,2014/03/28
2000,2014/03/29
1850,2014/03/31
1900,2014/04/01
2000,2014/04/02
2150,2014/04/03
2250,2014/04/04
1800,2014/04/05
2000,2014/04/07
1900,2014/04/08
1850,2014/04/10
2300,2014/04/11
2250,2014/04/13
2500,2014/04/14
1800,2014/04/15
1900,2014/04/18
2000,2014/04/19
1900,2014/04/20
1850,2014/04/22
1750,2014/04/23
1500,2014/04/24
1350,2014/04/25
1700,2014/04/26
1350,2014/04/27
1750,2014/04/28
1450,2014/04/29
1600,2014/04/30
1500,2014/05/02
1500,2014/05/03
1900,2014/05/04
1750,2014/05/05
2000,2014/05/06
1550,2014/05/07
1500,2014/05/08
1700,2014/05/09
1500,2014/05/12
1500,2014/05/13
1300,2014/05/15
1750,2014/05/16
1650,2014/05/17
1800,2014/06/04
1800,2014/06/05
3000,2014/06/06
2250,2014/06/07
2750,2014/06/08
2500,2014/06/09
2150,2014/06/10
2400,2014/06/11
2250,2014/06/12
2000,2014/06/13
2000,2014/06/14
1400,2014/06/15
2200,2014/06/16
2250,2014/06/17
2500,2014/06/18
1750,2014/06/19
2250,2014/06/20
2750,2014/06/22
2750,2014/06/23
2750,2014/06/24
2100,2014/06/25
2600,2014/06/26
2250,2014/06/27
2250,2014/06/28
2350,2014/06/29
2000,2014/06/30
2500,2014/07/01
2000,2014/07/02
2500,2014/07/03
2500,2014/07/04
2500,2014/07/06
2350,2014/07/07
2150,2014/07/08
2250,2014/07/09
2000,2014/07/10
1750,2014/07/11
2500,2014/07/13
2250,2014/07/14
1250,2014/07/15
2000,2014/07/16
2000,2014/07/17
2000,2014/07/18
2000,2014/07/19
2250,2014/07/20
2500,2014/07/21
2000,2014/07/22
2250,2014/07/24
2750,2014/07/25
3500,2014/07/26
2000,2014/07/27
2250,2014/07/28
3000,2014/07/30
2000,2014/07/31
2250,2014/08/01
3400,2014/08/02
2500,2014/08/03
3000,2014/08/04
3000,2014/08/05
3250,2014/08/06
2750,2014/08/07
3500,2014/08/08
3500,2014/08/09
3500,2014/08/11
2500,2014/08/12
2450,2014/08/13
3750,2014/08/14
3000,2014/08/16
2750,2014/08/17
2150,2014/08/18
2250,2014/08/20
2000,2014/08/21
2500,2014/08/22
2500,2014/08/24
2100,2014/08/25
2600,2014/08/26
2250,2014/08/27
2000,2014/08/28
2750,2014/08/29
2100,2014/08/30
2500,2014/08/31
2000,2014/09/01
2500,2014/09/02
2000,2014/09/03
1650,2014/09/04
2150,2014/09/05
2250,2014/09/07
3000,2014/09/08
2500,2014/09/10
2750,2014/09/11
2400,2014/09/12
2200,2014/09/13
3250,2014/09/14
3000,2014/09/15
3000,2014/09/16
2500,2014/09/17
3000,2014/09/18
2500,2014/09/19
2050,2014/09/20
2150,2014/09/21
2000,2014/09/22
2000,2014/09/23
2250,2014/09/24
2500,2014/09/25
1600,2014/09/26
2000,2014/09/28
1700,2014/09/29
1650,2014/09/30
1400,2014/10/01
2000,2014/10/04
1500,2014/10/05
1650,2014/10/07
1500,2014/10/08
1400,2014/10/09
1500,2014/10/10
1850,2014/10/12
1500,2014/10/13
1750,2014/10/14
2000,2014/10/16
2000,2014/10/17
1500,2014/10/19
1750,2014/10/20
1500,2014/10/21
2250,2014/10/26
2000,2014/10/27
2000,2014/10/28
1500,2014/10/29
2000,2014/10/30
2500,2014/10/31
2500,2014/11/01
2400,2014/11/02
3250,2014/11/03
2750,2014/11/05
3500,2014/11/07
2250,2014/11/09
3500,2012/12/14
3500,2013/04/04
4000,2013/04/06
3250,2013/04/07
4000,2013/04/08
3800,2013/04/09
3250,2013/04/10
3500,2013/04/11
3250,2013/04/12
3250,2013/04/13
3250,2013/04/14
3500,2013/04/15
3250,2013/04/16
2500,2013/04/18
3000,2013/04/19
2750,2013/04/20
1000,2013/04/21
3000,2013/04/22
3000,2013/04/23
2700,2013/04/25
2750,2013/04/28
2750,2013/04/29
3000,2013/04/30
2500,2013/05/02
2750,2013/05/03
2750,2013/05/04
2000,2013/05/05
2625,2013/05/06
2750,2013/05/07
2700,2013/05/08
2750,2013/05/09
2750,2013/05/10
2750,2013/05/11
2750,2013/05/12
2750,2013/05/13
2600,2013/05/14
2750,2013/05/15
2750,2013/05/16
2750,2013/05/17
2550,2013/05/19
2750,2013/05/20
2750,2013/05/21
2750,2013/05/23
3250,2013/05/24
3250,2013/05/26
3250,2013/05/27
3250,2013/05/28
3250,2013/05/29
2750,2013/05/30
3250,2013/06/09
3350,2013/06/11
3500,2013/06/14
4250,2013/06/19
4500,2013/06/21
4750,2013/06/24
3750,2013/07/06
3350,2013/07/09
3750,2013/07/10
3000,2013/07/12
3250,2013/07/15
3750,2013/07/16
3500,2013/07/17
3750,2013/07/20
3000,2013/07/22
3750,2013/07/23
3350,2013/07/25
3000,2014/02/12
3000,2014/02/18
3000,2014/02/26
2900,2014/07/11
2250,2014/07/13
2250,2014/07/14
2250,2014/07/15
2250,2014/07/16
2125,2014/07/17
2250,2014/07/18
2500,2014/07/20
2750,2014/07/21
2750,2014/07/22
2750,2014/07/24
2750,2014/07/25
2900,2014/07/26
2750,2014/07/27
2750,2014/07/28
3350,2014/07/29
3250,2014/07/30
3250,2014/07/31
3250,2014/08/01
4000,2014/08/02
3500,2014/08/03
3750,2014/08/04
3500,2014/08/05
4250,2014/08/06
3500,2014/08/07
4250,2014/08/08
4000,2014/08/09
3750,2014/08/11
4000,2014/08/12
4000,2014/08/13
4000,2014/08/14
4250,2014/08/15
3750,2014/08/16
4000,2014/08/17
3000,2014/08/18
4250,2014/08/19
3250,2014/08/20
3500,2014/08/21
3500,2014/08/22
2700,2014/08/24
2500,2014/08/25
3250,2014/08/26
2750,2014/08/27
2750,2014/08/28
3250,2014/08/30
3250,2014/08/31
2750,2014/09/01
3000,2014/09/02
3000,2014/09/03
2750,2014/09/04
2750,2014/09/05
3000,2014/09/07
3100,2014/09/08
3250,2014/09/09
3250,2014/09/10
3500,2014/09/11
3000,2014/09/12
3750,2014/09/13
4250,2014/09/14
4250,2014/09/15
3600,2014/09/16
3750,2014/09/17
3500,2014/09/18
3500,2014/09/19
3250,2014/09/20
3250,2014/09/21
2250,2014/09/22
2750,2014/09/23
2500,2014/09/24
2750,2014/09/25
2750,2014/09/26
2250,2014/09/28
2250,2014/09/29
2250,2014/09/30
2750,2014/10/01
2600,2014/10/07
2250,2014/10/08
2250,2014/10/09
1800,2014/10/10
2250,2014/10/12
2000,2014/10/13
2250,2014/10/14
2500,2014/10/16
2250,2014/10/17
2500,2014/10/19
2250,2014/10/20
2250,2014/10/21
2750,2014/10/26
2250,2014/10/27
2750,2014/10/28
2750,2014/10/29
3250,2014/10/30
3000,2014/10/31
3500,2014/11/01
3000,2014/11/02
4300,2014/11/03
4250,2014/11/05
4000,2014/11/07
3000,2014/11/09
3000,2014/11/10
4250,2014/11/11
4000,2014/11/12
3000,2014/11/14
3000,2014/11/17
2800,2014/11/20
2500,2014/11/23
3000,2014/11/30
2500,2014/12/12
3000,2014/12/14
3500,2014/12/17
2400,2014/12/21
3000,2014/12/28
2500,2015/01/11
2500,2015/01/11
2500,2015/01/18
2500,2015/01/18
4000,2015/01/31
3000,2015/02/15
3500,2015/02/18
3000,2015/03/08
350,2015/03/15
4000,2015/03/19
4750,2015/03/23
3500,2015/03/31
3250,2015/04/01
3250,2015/04/03
3100,2015/04/04
3250,2015/04/05
3250,2015/04/06
3000,2015/04/07
3100,2015/04/09
3000,2015/04/10
2750,2015/04/12
2500,2015/04/15
2750,2015/04/16
2750,2015/04/17
2250,2015/04/18
2250,2015/04/19
3100,2015/04/22
2000,2015/04/23
1750,2015/04/24
1750,2015/04/26
1900,2015/04/27
1900,2015/04/29
3100,2015/04/30
2250,2015/05/05
2750,2015/05/06
2050,2015/05/08
2000,2015/05/10
2250,2015/05/11
1750,2015/05/13
2000,2015/05/14
2250,2015/05/15
2250,2015/05/16
2500,2015/05/17
2250,2015/05/18
2500,2015/05/19
2500,2015/05/21
2250,2015/05/22
2250,2015/05/24
2500,2015/05/25
2150,2015/05/26
2500,2015/05/27
2350,2015/05/29
2250,2015/05/30
2500,2015/06/01
2300,2015/06/02
2600,2015/06/03
2500,2015/06/07
2500,2015/06/08
3000,2015/06/09
2750,2015/06/10
2750,2015/06/11
2500,2015/06/12
2600,2015/06/13
3000,2015/06/14
3000,2015/06/15
2750,2015/06/16
2700,2015/06/17
2500,2015/06/18
2500,2015/06/19
2500,2015/06/20
2750,2015/06/21
2500,2015/06/25
2500,2015/06/26
2750,2015/06/27
3000,2015/06/29
3065,2015/06/30
3000,2015/07/01
3140,2015/07/02
3170,2015/07/03
3160,2015/07/04
3100,2015/07/05
3070,2015/07/06
2500,2015/07/07
3000,2015/07/08
2070,2015/07/09
2500,2015/07/12
1870,2015/07/13
2000,2015/07/14
2200,2015/07/15
2170,2015/07/16
2160,2015/07/20
2400,2015/07/21
2060,2015/07/22
1660,2015/07/23
1830,2015/07/27
2130,2015/07/28
2130,2015/07/29
1800,2015/07/30
1830,2015/07/31
2160,2015/08/01
2660,2015/08/03
2330,2015/08/04
2700,2015/08/05
2360,2015/08/06
2830,2015/08/07
2800,2015/08/09
2800,2015/08/10
2730,2015/08/13
2330,2015/08/14
2200,2015/08/19
2160,2015/08/20
1830,2015/08/21
2130,2015/08/24
2160,2015/08/25
1970,2015/08/26
1400,2015/08/27
1860,2015/08/28
1830,2015/08/31
1830,2015/09/01
1830,2015/09/02
1830,2015/09/04
2160,2015/09/05
2140,2015/09/07
1870,2015/09/08
1850,2015/09/09
1800,2015/09/11
1970,2015/09/15
2000,2015/09/18
2270,2015/09/19
2340,2015/09/22
2470,2015/09/23
2670,2015/09/24
2670,2015/09/25
3500,2015/09/26
2840,2015/09/27
3670,2015/09/28
3530,2015/09/29
3830,2015/09/30
3670,2015/10/01
3740,2015/10/03
3670,2015/10/04
3000,2015/10/05
3500,2015/10/08
2840,2015/10/09
3330,2015/10/11
3200,2015/10/12
3170,2015/10/13
3160,2015/10/14
3330,2015/10/15
3330,2015/10/16
3330,2015/10/17
3330,2015/10/19
3160,2015/10/20
3100,2015/10/21
3000,2015/10/23
2840,2015/10/24
2330,2015/10/27
2660,2015/10/28
3000,2015/10/29
2840,2015/10/30
2930,2015/10/31
3170,2015/11/04
3330,2015/11/05
3500,2015/11/06
3200,2015/11/17
3500,2015/11/18
4000,2015/11/19
2800,2015/12/03
3160,2015/12/04
2960,2015/12/16
4000,2016/03/09
4000,2016/03/21
6500,2016/03/23
4000,2016/03/30
4000,2016/03/31
4000,2016/04/01
4330,2016/04/04
3760,2016/04/05
4330,2016/04/07
3700,2016/04/11
3660,2016/04/16
3660,2016/04/18
3160,2016/04/22
3300,2016/04/25
3830,2016/04/26
3300,2016/04/27
3260,2016/04/28
3150,2016/04/29
3160,2016/04/30
3320,2016/05/05
3330,2016/05/06
3350,2016/05/07
3330,2016/05/09
3260,2016/05/10
3160,2016/05/11
2830,2016/05/13
2830,2016/05/16
2660,2016/05/17
2830,2016/05/18
2830,2016/05/19
2830,2016/05/20
2830,2016/05/22
2960,2016/05/23
2830,2016/05/24
2960,2016/05/25
3000,2016/05/26
3330,2016/05/27
3600,2016/05/29
2830,2016/05/30
3330,2016/05/31
3330,2016/06/01
3330,2016/06/02
3330,2016/06/03
3330,2016/06/04
3330,2016/06/05
3830,2016/06/06
3330,2016/06/07
3830,2016/06/08
3660,2016/06/09
4160,2016/06/10
3350,2016/06/11
4000,2016/06/12
4100,2016/06/13
4830,2016/06/14
4660,2016/06/15
4500,2016/06/16
4830,2016/06/17
4660,2016/06/18
4775,2016/06/19
4660,2016/06/20
4330,2016/06/21
4330,2016/06/22
4000,2016/06/23
4300,2016/06/24
4160,2016/06/25
4160,2016/06/26
3660,2016/06/27
3830,2016/06/28
4000,2016/06/29
3660,2016/06/30
3500,2016/07/01
3830,2016/07/02
3400,2016/07/03
3660,2016/07/04
3660,2016/07/05
5500,2016/07/06
3660,2016/07/07
3660,2016/07/08
3800,2016/07/09
4000,2016/07/10
4160,2016/07/11
4330,2016/07/12
5160,2016/07/13
5000,2016/07/14
4800,2016/07/15
5000,2016/07/16
5000,2016/07/17
4830,2016/07/18
5330,2016/07/19
4300,2016/07/20
4360,2016/07/21
4000,2016/07/22
4330,2016/07/23
4000,2016/07/24
3400,2016/07/25
3610,2016/07/26
3730,2016/07/27
3470,2016/07/28
3670,2016/07/29
2230,2016/07/30
3330,2016/07/31
3100,2016/08/01
2800,2016/08/02
1830,2016/08/03
2160,2016/08/04
