Modal Price termaric, Date
6975,2012/06/02
9000,2012/06/04
7750,2012/06/05
6500,2012/06/07
6500,2012/06/08
6500,2012/06/09
6500,2012/06/11
6000,2012/06/14
4500,2012/06/18
6000,2012/06/19
6000,2012/06/20
7250,2012/06/22
8000,2012/06/25
6600,2012/06/26
5750,2012/06/29
5500,2012/07/04
7150,2012/07/05
5750,2012/07/06
8250,2012/07/09
6500,2012/07/12
6500,2012/07/13
6250,2012/07/16
6750,2012/07/17
7000,2012/07/19
8000,2012/07/23
7000,2012/07/24
7000,2012/07/25
8000,2012/07/27
7250,2012/07/30
8000,2012/08/01
9000,2012/08/02
7000,2012/08/04
8500,2012/08/06
7750,2012/08/08
8500,2012/08/09
8500,2012/08/10
7000,2012/08/14
8500,2012/08/16
8400,2012/08/18
8500,2012/08/20
7650,2012/08/21
7000,2012/08/22
7000,2012/08/23
6650,2012/08/27
8000,2012/08/28
8800,2012/08/29
7250,2012/09/01
8250,2012/09/04
7500,2012/09/10
7250,2012/09/12
6750,2012/09/13
8500,2012/09/15
8900,2012/09/18
8900,2012/09/19
7500,2012/09/24
8650,2012/09/25
8950,2012/09/26
8950,2012/09/27
7150,2012/10/03
8500,2012/10/04
8500,2012/10/08
7250,2012/10/09
7500,2012/10/12
7500,2012/10/13
7000,2012/10/15
8000,2012/10/18
7000,2012/10/20
7000,2012/10/22
7000,2012/10/23
6750,2012/10/26
6500,2012/10/29
6500,2012/10/30
6850,2012/10/31
7600,2012/11/02
7600,2012/11/03
6850,2012/11/06
7600,2012/11/07
6850,2012/11/08
7000,2012/11/12
7250,2012/11/15
7000,2012/11/19
7250,2012/11/20
9000,2012/11/21
7650,2012/11/22
8000,2012/11/26
8000,2012/11/27
7000,2012/11/28
7000,2012/11/29
7750,2012/11/30
6500,2012/12/01
7500,2012/12/03
7500,2012/12/04
8500,2012/12/05
7750,2012/12/10
7250,2012/12/11
8250,2012/12/12
7000,2012/12/15
7500,2012/12/17
7750,2012/12/18
9000,2012/12/19
8400,2012/12/20
9000,2012/12/21
7750,2012/12/27
8200,2012/12/28
9000,2012/12/31
7950,2013/01/02
9200,2013/01/03
7950,2013/01/04
9000,2013/01/07
9200,2013/01/08
7950,2013/01/11
9000,2013/01/15
8600,2013/01/17
9000,2013/01/18
8650,2013/01/19
7750,2013/01/21
7750,2013/01/22
7825,2013/01/23
8000,2013/01/24
9250,2013/01/25
9000,2013/01/28
8600,2013/01/29
9500,2013/02/05
9050,2013/02/06
9050,2013/02/12
8500,2013/02/14
8500,2013/02/15
8500,2013/02/16
7750,2013/02/21
8250,2013/03/02
8750,2013/03/05
8250,2013/03/07
8250,2013/03/11
12500,2013/03/12
9000,2013/03/13
10000,2013/03/14
10250,2013/03/15
12000,2013/03/18
11500,2013/03/20
9500,2013/03/21
10000,2013/03/22
10000,2013/03/23
10000,2013/03/25
10250,2013/03/26
12000,2013/03/28
10000,2013/03/29
10000,2013/03/30
10000,2013/04/01
10000,2013/04/09
12000,2013/04/10
10000,2013/04/11
11500,2013/04/12
10250,2013/04/16
10250,2013/04/17
10750,2013/04/18
11000,2013/04/19
11000,2013/04/20
11000,2013/04/22
13000,2013/04/25
11000,2013/04/29
13000,2013/04/30
10000,2013/05/06
10000,2013/05/08
11000,2013/05/09
10000,2013/05/10
10250,2013/05/21
9000,2013/05/23
10500,2013/05/24
10500,2013/05/25
10000,2013/05/27
8750,2013/05/29
8750,2013/05/30
9000,2013/05/31
13000,2013/06/17
11250,2013/06/18
10000,2013/06/19
12500,2013/06/21
12500,2013/06/22
9750,2013/06/26
9250,2013/06/27
10250,2013/06/28
12250,2013/07/01
10750,2013/07/04
10500,2013/07/06
9750,2013/07/09
11000,2013/07/10
9000,2013/07/11
10250,2013/07/12
10000,2013/07/15
11500,2013/07/19
9500,2013/07/20
10500,2013/07/22
11500,2013/07/23
10750,2013/07/24
9750,2013/07/25
10500,2013/07/26
11000,2013/07/29
10650,2013/07/30
10250,2013/08/01
9000,2013/08/02
8750,2013/10/22
8750,2013/10/23
7450,2013/12/04
7450,2013/12/06
8150,2013/12/10
9250,2013/12/12
9500,2013/12/24
8500,2013/12/24
5900,2013/12/27
10000,2013/12/30
9750,2013/12/31
10000,2014/01/01
10000,2014/01/04
8000,2014/01/06
8000,2014/01/07
8000,2014/01/10
8000,2014/01/11
8000,2014/01/14
8550,2014/01/18
8500,2014/01/21
8500,2014/01/24
8500,2014/01/25
11250,2014/01/27
8550,2014/01/31
9000,2014/03/03
9750,2014/03/07
10500,2014/03/10
10250,2014/03/20
10250,2014/03/28
8500,2014/04/02
8500,2014/04/03
10500,2014/04/05
12000,2014/04/07
12000,2014/04/09
10000,2014/04/22
10500,2014/04/30
10950,2014/05/06
10500,2014/05/08
10500,2014/05/10
9000,2014/05/14
10500,2014/05/17
9750,2014/06/06
9500,2014/06/17
9500,2014/06/18
7500,2014/06/24
8500,2014/07/09
8500,2014/07/22
9500,2014/07/28
9500,2014/07/30
9500,2014/08/02
10000,2014/08/04
9500,2014/08/05
9500,2014/08/06
11500,2014/08/12
10250,2014/08/18
10000,2014/08/21
11500,2014/08/30
9500,2014/09/02
9000,2014/09/03
9000,2014/09/05
8750,2014/09/15
10000,2014/09/17
10000,2014/09/19
8500,2014/09/23
9500,2014/09/26
10000,2014/09/29
9000,2014/10/01
9000,2014/10/02
9000,2014/10/06
9000,2014/10/09
9000,2014/10/10
10500,2014/10/13
9250,2014/10/29
10000,2014/10/31
9500,2014/11/01
9250,2014/11/05
10000,2014/11/12
10000,2014/11/13
9750,2014/11/15
9750,2014/11/20
9500,2014/12/02
9500,2014/12/04
10000,2014/12/10
6850,2014/12/12
9500,2014/12/24
13000,2014/12/31
12000,2015/01/03
11250,2015/01/05
12000,2015/01/09
12000,2015/03/30
