week,price
30-11-2005,1600
07-12-2005,925
14-12-2005,900
21-12-2005,900
28-12-2005,525
04-01-2006,475
11-01-2006,375
18-01-2006,400
25-01-2006,375
01-02-2006,370
08-02-2006,340
15-02-2006,320
22-02-2006,330
01-03-2006,330
08-03-2006,320
15-03-2006,300
22-03-2006,280
29-03-2006,310
05-04-2006,290
12-04-2006,270
19-04-2006,310
26-04-2006,280
03-05-2006,285
10-05-2006,280
17-05-2006,280
24-05-2006,270
31-05-2006,225
07-06-2006,310
14-06-2006,340
21-06-2006,350
28-06-2006,360
05-07-2006,370
12-07-2006,370
19-07-2006,370
26-07-2006,370
02-08-2006,400
09-08-2006,360
16-08-2006,450
23-08-2006,430
30-08-2006,420
06-09-2006,420
13-09-2006,400
20-09-2006,400
27-09-2006,420
04-10-2006,425
11-10-2006,425
18-10-2006,425
25-10-2006,375
01-11-2006,575
08-11-2006,600
15-11-2006,600
22-11-2006,675
29-11-2006,575
06-12-2006,575
13-12-2006,625
20-12-2006,875
27-12-2006,850
03-01-2007,800
10-01-2007,1050
17-01-2007,1050
24-01-2007,1050
31-01-2007,1050
07-02-2007,1200
14-02-2007,950
21-02-2007,1050
28-02-2007,900
07-03-2007,600
14-03-2007,675
21-03-2007,700
28-03-2007,600
04-04-2007,600
11-04-2007,500
18-04-2007,500
25-04-2007,500
02-05-2007,525
09-05-2007,600
16-05-2007,575
23-05-2007,525
30-05-2007,525
06-06-2007,525
13-06-2007,800
20-06-2007,1025
27-06-2007,950
04-07-2007,950
11-07-2007,850
18-07-2007,900
25-07-2007,900
01-08-2007,900
08-08-2007,900
15-08-2007,1050
22-08-2007,1700
29-08-2007,1450
05-09-2007,1450
12-09-2007,1425
19-09-2007,1550
26-09-2007,1675
03-10-2007,1850
10-10-2007,1625
17-10-2007,1600
24-10-2007,1400
31-10-2007,1400
07-11-2007,1000
14-11-2007,950
21-11-2007,800
28-11-2007,800
05-12-2007,700
12-12-2007,700
19-12-2007,600
26-12-2007,575
02-01-2008,500
09-01-2008,500
16-01-2008,500
23-01-2008,400
30-01-2008,425
06-02-2008,425
13-02-2008,425
20-02-2008,425
27-02-2008,425
05-03-2008,425
12-03-2008,475
19-03-2008,475
26-03-2008,400
02-04-2008,400
09-04-2008,375
16-04-2008,475
23-04-2008,450
30-04-2008,450
07-05-2008,425
14-05-2008,475
21-05-2008,475
28-05-2008,350
04-06-2008,350
11-06-2008,350
18-06-2008,465
25-06-2008,425
02-07-2008,490
09-07-2008,565
16-07-2008,565
23-07-2008,925
30-07-2008,875
06-08-2008,900
13-08-2008,950
20-08-2008,825
27-08-2008,750
03-09-2008,750
10-09-2008,750
17-09-2008,750
24-09-2008,700
01-10-2008,750
08-10-2008,750
12-10-2008,1125
15-10-2008,700
22-10-2008,600
29-10-2008,600
05-11-2008,1050
12-11-2008,1050
19-11-2008,1000
26-11-2008,1000
03-12-2008,1000
10-12-2008,1125
17-12-2008,1125
24-12-2008,1150
31-12-2008,1150
07-01-2009,1300
14-01-2009,1300
21-01-2009,1450
28-01-2009,1200
04-02-2009,1200
11-02-2009,1200
18-02-2009,1200
25-02-2009,1200
04-03-2009,1200
11-03-2009,987
18-03-2009,987
25-03-2009,650
01-04-2009,600
08-04-2009,550
15-04-2009,550
22-04-2009,550
29-04-2009,550
06-05-2009,550
13-05-2009,600
20-05-2009,630
27-05-2009,630
03-06-2009,750
10-06-2009,750
17-06-2009,800
24-06-2009,775
01-07-2009,800
08-07-2009,800
15-07-2009,800
22-07-2009,800
29-07-2009,800
05-08-2009,800
12-08-2009,800
19-08-2009,800
26-08-2009,800
02-09-2009,800
09-09-2009,800
16-09-2009,800
23-09-2009,800
30-09-2009,800
07-10-2009,1350
14-10-2009,1350
21-10-2009,1580
28-10-2009,1650
04-11-2009,1650
11-11-2009,1650
18-11-2009,1550
25-11-2009,2050
02-12-2009,2050
09-12-2009,1825
16-12-2009,1675
23-12-2009,1675
30-12-2009,1675
06-01-2010,1675
13-01-2010,1300
20-01-2010,1300
27-01-2010,1300
03-02-2010,1300
10-02-2010,1250
17-02-2010,1100
24-02-2010,950
03-03-2010,900
10-03-2010,800
17-03-2010,800
24-03-2010,800
31-03-2010,700
07-04-2010,675
14-04-2010,533
21-04-2010,517
28-04-2010,525
05-05-2010,525
12-05-2010,508
19-05-2010,542
26-05-2010,558
02-06-2010,586
09-06-2010,713
16-06-2010,704
23-06-2010,675
30-06-2010,700
07-07-2010,700
14-07-2010,738
21-07-2010,800
28-07-2010,775
04-08-2010,875
11-08-2010,850
18-08-2010,875
25-08-2010,875
01-09-2010,1125
08-09-2010,1075
15-09-2010,1350
22-09-2010,1550
29-09-2010,1650
06-10-2010,1750
13-10-2010,1625
20-10-2010,1700
27-10-2010,1600
03-11-2010,1750
10-11-2010,2250
17-11-2010,2525
24-11-2010,2425
01-12-2010,2650
08-12-2010,2150
15-12-2010,2600
22-12-2010,5250
29-12-2010,4250
05-01-2011,3300
12-01-2011,3100
19-01-2011,2750
26-01-2011,2650
02-02-2011,1500
09-02-2011,1100
16-02-2011,925
23-02-2011,1075
02-03-2011,675
09-03-2011,550
16-03-2011,600
23-03-2011,550
30-03-2011,600
06-04-2011,600
13-04-2011,600
20-04-2011,575
27-04-2011,600
04-05-2011,610
11-05-2011,650
18-05-2011,650
25-05-2011,700
01-06-2011,675
08-06-2011,775
15-06-2011,750
22-06-2011,800
29-06-2011,800
06-07-2011,758
13-07-2011,950
20-07-2011,975
27-07-2011,875
03-08-2011,1000
10-08-2011,1050
17-08-2011,1050
24-08-2011,1275
31-08-2011,1250
07-09-2011,1400
14-09-2011,1300
21-09-2011,1300
28-09-2011,1300
05-10-2011,1250
12-10-2011,1150
19-10-2011,1100
26-10-2011,1000
02-11-2011,1250
09-11-2011,1150
16-11-2011,1150
23-11-2011,1000
30-11-2011,1000
07-12-2011,950
14-12-2011,850
21-12-2011,650
28-12-2011,650
04-01-2012,625
11-01-2012,510
18-01-2012,675
25-01-2012,550
01-02-2012,500
08-02-2012,500
15-02-2012,500
22-02-2012,500
29-02-2012,500
07-03-2012,465
14-03-2012,500
21-03-2012,450
28-03-2012,550
04-04-2012,580
11-04-2012,550
18-04-2012,550
25-04-2012,600
02-05-2012,600
09-05-2012,625
16-05-2012,625
23-05-2012,520
30-05-2012,525
06-06-2012,525
13-06-2012,575
20-06-2012,575
27-06-2012,575
04-07-2012,700
11-07-2012,700
